state,orig_label,map_sym1,map_sym2,unit_link,prov_no,province,unit_name,unit_age,unitdesc,strat_unit,unit_com,map_ref,rocktype1,rocktype2,rocktype3,unit_ref,map_symb2
NJ  ,Kmg,Kmg,Kmg;1,NJKmg;1,1,Central and Southern - Coastal Plain Sediments,Magothy Formation,"Upper Cretaceous, middle and lower Santonian","Magothy Formation - Sand, quartz, fine- to coarse-grained, locally gravelly (especially at the base), white; weathers yellow brown or orange brown, interbedded with thin-bedded clay or dark-gray clay-silt mainly at the top of the formation. Muscovite and feldspar are minor sand constituents. Large wood fragments occur in many clay layers. Clay weathers to gray brown or white. Formation characterized by local vertical and lateral facies changes. The Magothy is best exposed and thickest (about 80 m (262 ft)) in the Raritan Bay area. The outcrop belt is widest in the north and narrows to the southwest. The formation is about 25 m (82 ft) thick or less in the southern sheet. The formation is poorly exposed because of its sandy nature and its widespread cover by younger sediments. The old geologic map of New Jersey (Lewis and Kummel, 1910-1912, revised 1950) showed the Magothy to consist of only one lithology (Cliffwood beds at Cliffwood Beach, Monmouth County). Subsequent pollen studies of the Magothy and the underlying Raritan Formation showed most of the Raritan to be the same age as the Magothy. Wolfe and Pakiser (1971) redefined and considerably expanded the Magothy. Kummel and Knapp (1904) had already recognized that the Magothy, as used here, contained a large number of lithologies. At the time of their study, the Magothy was extensively mined for clay and sand and was well exposed. Their subdivisions had economic designations (for example, Amboy stoneware clay). Barksdale and others (1943) later gave geographic names to these subdivisions, discussed individually below. The lower contact of the Magothy in the Delaware River valley is difficult to place because the lower part of the Magothy is lithically similar to the underlying Potomac Formation. The contact is placed at the base of the lowest dark-gray clay in the Magothy. The best faunas from the Magothy were obtained from siderite concretions and slabs in and near Cliffwood Beach representing only the top of the formation. These faunas were discussed in detail by Weller (1904, 1907) and supplemented by Sohl (in Owens and others, 1977). The presence of Ostrea cretacea in the Cliffwood Beach fauna suggests that the upper part of the Magothy is late Santonian in age. Wolfe and Pakiser (1971) and Christopher (1979, 1982) discussed the microfloral assemblage in the Magothy. Christopher subdivided the Magothy into three zones: Complexipollis exigua-Santalacites minor (oldest), ?Pseudoplicapollis longiannulata-Plicapollis incisa (middle), and ?Pseudoplicapollis cuneata-Semioculopollis verrucosa (youngest). The oldest zone, originally considered to be as old as Turonian, was subsequently considered to be post-Coniacian Christopher, 1982). The middle and upper zones are also probably Santonian. Christopher (1979) followed the nomenclature for the subdivisions elaborated upon earlier. The Cliffwood and Morgan beds, and, presumably the upper thin-bedded sequence, would include the youngest pollen zone; the Amboy Stoneware Clay Member and perhaps the uppermost part of the Old Bridge Sand Member, the middle pollen zone; and the lower part of the Old Bridge Sand Member and South Amboy Fire Clay Member, the oldest pollen zone. The Magothy is considered herein to be of Santonian age. Cliffwood beds - Typically very sandy, horizontally bedded to crossbedded, mainly small-scale trough crossbeds. Thin layers of dark, fine, carbonaceous matter are interbedded with sand. Carbonaceous units are conspicuously micaceous; the sand is less so. Sand is typically fine to medium grained and locally burrowed. Burrows include the small-diameter Ophiomorpha nodosa and some that are not clay lined. Slabs of dark-reddish-brown siderite were common at the base of the bluff at Cliffwood Beach before the outcrop was covered. Some of these slabs had many fossil molds, typically a large number of pelecypods. Lower in the section, between high and low tide level, there is a pale-gray clay-silt about 1.5 m (5 ft) thick with many small reddish-brown siderite concretions. These concretions have many fossils that were described in detail by Weller (1904). The Cliffwood beds are about 7.5 m (25 ft) thick in outcrop. Equivalents of the Cliffwood beds are exposed near the Delaware River between Trenton and Florence, Burlington County. These beds are mainly sand, as are those at Cliffwood Beach, but they tend to have more crossbedding than the typical Cliffwood strata and no burrows or marine fossils. In addition, beds of quartz gravel are present in the Cliffwood near Riverside, Burlington County. Morgan beds - Occur only in the northern part of the central sheet. They consist of interbedded, thin, dark-colored clay and fine-grained, light-colored, micaceous sand. Clay is locally more abundant in the Morgan than in the Cliffwood beds. Sand ranges from massive to locally crossbedded and locally has fine organic matter. This unit is exposed only in the South Amboy quadrangle where it is as much as 12 m (39 ft) thick. It grades downward into underlying clay. Amboy Stoneware Clay Member - Crops out only in the South Amboy quadrangle in the central sheet and is mainly dark-gray, white-weathering, interbedded clay and silt to fine-grained quartz sand. Clay has abundant, fine, carbonaceous matter and fine mica flakes. Small cylindrical burrows are abundant in this unit. Locally, the clay is interbedded with sand and contains large pieces of lignitized, bored (Teredolites) logs. Large slabs of pyrite-cemented sand are associated with the woody beds. Amber occurs in some of the wood. Unit is approximately 7.5 m (25 ft) thick, but pinches out along strike. The Amboy Stoneware is disconformable on the underlying sand. Old Bridge Sand Member - Predominantly a light-colored sand, extensively crossbedded and locally interbedded with dark-gray laminae; clay is highly carbonaceous, woody, in discontinuous beds, especially near the base. The scale of crossbedding varies from small to large. Locally, small burrows are present. Unit is as much as 12 m (39 ft) thick and rests disconformably on the underlying unit. South Amboy Fire Clay Member - Basal member of the Magothy Formation. Unit resembles the Amboy Stoneware Clay Member, particularly in its lensing character. Unit is best exposed in the central sheet in the South Amboy quadrangle and in the Delaware River valley at the base of the bluffs at Florence. The South Amboy is a dark, massive to finely laminated clay, locally oxidized to white or red. Unit fills large channels and has local concentrations of large, pyrite-encrusted, lignitized logs. Some of the clay is slumped, suggesting post-depositional undercutting during channel migration. The clay is interbedded with fine- to medium-grained, crossbedded sand. The basal contact with the underlying Raritan is well exposed in the Sayre and Fisher Pit in Sayreville, Middlesex County, where the contact is marked by a deeply weathered gravel zone.",,,NJ001,sand,gravel,clay or mud; silt,NJ001 NJ003 NJ029 NJ031 NJ033 NJ034 NJ035 NJ036 NJ037 NJ038 NJ039,
NJ  ,Tkl,Tkl,Tkl;0,NJTkl;0,0,Central and Southern - Coastal Plain (Subsurface),Lower Member of the Kirkwood Formation,"lower Miocene, Aquitanian","Lower Member - Complex unit in which facies changes are common. In outcrop, some of the lower member is a light-colored quartz sand (Grenloch facies of Isphording, 1970). The facies pinches out rapidly in the subsurface, and the unit is primarily a massive to finely laminated, dark-gray clay (Alloway clay of Kummel and Knapp, 1904). This clay facies occurs as far south as Clayton, Gloucester County, where the lower part changes to a fossiliferous clayey silt. The lower clayey facies thickens to over 30 m (98 ft) in the coastal region. Here, the lower facies is mostly dark-gray clayey silt that is locally very fossiliferous. The unit varies in thickness but is thickest, as much as 80 m (262 ft), in the southeastern part of the central sheet. South of Bridgeton, Cumberland County, sand is present at the top of the member. This sand thickens to over 23 m (75 ft) at the coast where it is part of the ""800 foot"" sand, the principal aquifer in the coastal region. Quartz and siliceous rock fragments are the major sand minerals. Feldspars typically constitute less than 10 percent of the sand fraction except in the reworked beds where they make up as much as 25 percent of the sand. Mica and wood fragments are minor constituents. The basal contact with the underlying unit is sharp and unconformable. Commonly there is a 0.3- to 1-m (1- to 3-ft)-thick zone along this contact in which coarse-grained quartz sand and some gravel are present. Because of the quartz sand in the lower member in outcrop, some considered the lower member and the Cohansey Formation to be transitional (Isphording, 1970). Obviously this is not the case as there are three other members (Shiloh Marl, Wildwood, and Belleplain) lying between the lower member and the Cohansey. The age of the lower member was determined from planktic foraminifera and diatoms, and from strontium-isotope age estimates. The foraminiferal assemblage includes Globigerina praebulloides, Globigerinoides trilobus, G. altiapertura, and Globorotalia siakensis. These species are characteristic of the lower Miocene Zone 5 of Blow (1969) of Burdigalian age. The diatom assemblage is characterized by Actinoptychus heliopelta, Aulacodiscus rogersii, Coscinodiscus lewisianus, Sceptroneis caduceus, and Triceratium acutum. These diatoms are characteristic of ECDZ 1 of Andrews (1988), which is considered to be early Miocene (Burdigalian) in age. The strontium-isotope analyses of shells from this member indicate ages from 23 to 20.2 Ma (Aquitanian), thereby extending the age of this member (Sugarman and others, 1993). The pollen in the clay facies of the Kirkwood, as determined from the ACGS-4 drillhole, are oak, hickory, and pine with smaller amounts of beech, black gum, sweet gum, alder, elm, linden, and birch. The sandy facies has essentially the same assemblage but has unusually high concentrations of beech. Exotic species such as Podocarpus and Momipites are common in the unit. The cool floral elements found in the overlying Belleplain and Wildwood Members were not found in the lower member. ",,part of the Kirkwood Formation. Subsurface unit shown in cross section (NJ002) with different description that surficial units.,NJ001,clay or mud,silt,sand,NJ001 NJ003 NJ035 NJ102 NJ103 NJ104 NJ105,
NJ  ,JTrp,JTRp,JTRp;5,NJJTRp;5,5,Northern - Newark Basin,Passaic Formation,Lower Jurassic and Upper Triassic,"Passaic Formation (Olsen, 1980) - Reddish-brown to brownish-purple and grayish-red siltstone and shale (JTrp) maximum thickness 3,600 m (11,810 ft). At places contains mapped sandy mudstone (JTrpms), sandstone (JTrps), conglomeratic sandstone (JTrpsc) and conglomerate containing clasts of quartzite (JTrpcq), or limestone (JTrpcl). Formation coarsens up section and to the southwest. Quartzite conglomerate unit (JTrpcq) is reddish-brown pebble conglomerate, pebbly sandstone, and sandstone, in upward-fining sequences 1 to 2 m (3-6 ft) thick. Clasts are subangular to subrounded, quartz and quartzite in sandstone matrix. Sandstone is medium to coarse grained, feldspathic (up to 20 percent feldspar), and locally contains pebble and cobble layers. Conglomerate thickness exceeds 850 m (2,790 ft). Limestone conglomerate unit (JTrpcl) is medium-bedded to massive, pebble to boulder conglomerate. Clasts are subangular dolomitic limestone in matrix of brownish- to purplish-red sandstone to mudstone; matrix weathers light-gray to white near faults. Maximum thickness unknown. Conglomeratic sandstone (JTrpsc) is brownish-red pebble conglomerate, medium- to coarse-grained, feldspathic sandstone and micaceous siltstone; unit is planar to low-angle trough cross laminated, burrowed, and contains local pebble layers. Unit forms upward-fining sequences 0.5 to 2.5 m (1.6-8 ft) thick. Conglomeratic sandstone thickness exceeds 800 m (2,625 ft). Sandstone (JTrps) is interbedded grayish-red to brownish-red, medium- to fine-grained, medium- to thick-bedded sandstone and brownish-to purplish-red coarse-grained siltstone; unit is planar to ripple cross-laminated, fissile, locally calcareous, containing desiccation cracks and root casts. Upward-fining cycles are 1.8 to 4.6 m (6-15 ft) thick. Sandstone beds are coarser and thicker near conglomerate units (JTrpcq, JTrpcl). Maximum thickness about 1,100 m (3,610 ft). Sandy mudstone (JTrpms) is reddish-brown to brownish-red, massive, silty to sandy mudstone and siltstone, which are bioturbated, ripple cross-laminated and interbedded with lenticular sandstone. To southwest where similar lithologic units also occur, they have not been mapped separately, but have been included in undivided unit JTrp. Rhythmic cycles 2 to 7 m (7-23 ft) of thick gray-bed sequences (Trpg), termed Van Houten cycles by Olsen (1985), contain basal thin-bedded to finely laminated shale to siltstone, which grade upward through laminated to microlaminated, locally calcareous mudstone to siltstone and finally into massive silty mudstone. Lowest part of cycle has some desiccation features and local fossils; middle part has highest organic content and the most fossils; highest part contains mudcracks, burrows, and root casts. Gray-bed cycles are abundant in lower half of Passaic Formation and less common in upper half. Rocks of the Passaic Formation have been locally thermally metamorphosed to hornfels where in contact with the Orange Mountain Basalt, diabase dikes, and sheetlike intrusions. Total thickness of formation ranges from 3500 to 3600 m (11480-11810 ft).",,"Newark Supergroup, Brunswick Group (Lyttle and Epstein, 1987). The Passaic Formation unit description on the map encompasses multiple units (JTRp, JTRpms, JTRps, JTRpsc, JTRpcq, JTRpcl, and TRpg). The Passaic Formation was split into individual units according to the digital map and the appropriate descriptions were used for each. The entire description was used for this unit (JTRp).",NJ001,siltstone,shale,,NJ001 NJ002 NJ023 NJ024 NJ027,
NJ  ,Tkw,Tkw,Tkw;0,NJTkw;0,0,Central and Southern - Coastal Plain (Subsurface),Wildwood Member of the Kirkwood Formation,"middle and lower Miocene, Langhian and Burdigalian","Wildwood Member - New member named for a well drilled at Wildwood, Cape May County. Typically consists of a very fossiliferous, micaceous, darkgray clay-silt interbedded with fine- to medium-grained, pale-gray-brown sand in lower half of the member. The upper half of the member is more sandy (mostly fine-grained, micaceous quartz sand), thin-bedded to laminated, commonly interbedded with thin-bedded, gray-brown, micaceous clay; wood fragments are common. The basal contact with the underlying unit is sharp and has considerable relief. A 1-m (3-ft)-thick bed of gravel (1 cm (0.4 in) in maximum diameter) with pieces of quartz and worn shells, commonly occurs along the contact. Thickness of the unit varies widely because of the undulating basal contact. The maximum thickness, 80 m (262 ft), was penetrated in the Wildwood well. At the Island Beach well (290019) at Island Beach State Park, Ocean County, the Wildwood is over 30 m (98 ft) thick. The lower 6 m (20 ft) consists of thick interbeds of fine- to medium-grained, massive to locally thick-bedded, extensively bioturbated, micaceous quartz sand and dark-brown and grayish-brown silty clay. The middle part is mostly massive to finely laminated, dark-gray to gray-brown silt to clay. The upper 6 m (20 ft) consists of fine- to coarse-grained, locally gravelly, thin- to thick-bedded sand interbedded with the clay and silt. The age of the Wildwood was determined from diatoms and strontium-isotope age estimates of mollusk shells. The diatom assemblages in this unit fall within Andrews (1988) ECDZ 2, thus indicating a considerable unconformity between this member and the overlying Belleplain (ECDZ 6). ECDZ 2 is in the Delphineis ovata Zone and contains the characteristic diatoms Coscinodiscus lewisianus, Delphineis lineata, Rhaphidodiscus marylandicus, Rhaphoneis fusiformis, R. margaritata, R. wicomicoensis, Sceptroneis caduceus, S. grandis, and S. hungarica. Strontium-isotope analyses on shells from this interval indicate an age range of 17.4 to 15.5 Ma (Sugarman and others, 1993). The isotopic and paleontologic ages suggest that the Wildwood Member straddles the early-middle Miocene boundary (Langhian-Burdigalian boundary). Pollen from the Wildwood has warm-temperate affinities in the lower part and mixed warm- and cool-temperate affinities in the upper part suggesting an overall cooling of the climate during the time of deposition. Collectively, the Wildwood and Belleplain Members constitute the section that Woolman (1889-1902) assigned to his ""great diatom bed"".",,part of the Kirkwood Formation. Subsurface unit shown in cross section (NJ002) with different description that surficial units.,NJ001,clay or mud,silt,sand,NJ001 NJ003 NJ102 NJ103 NJ108,
NJ  ,Ymg,Ymg,Ymg;11,NJYmg;11,11,Northern - New Jersey Highlands,Monazite Gneiss,Middle Proterozoic,"Monazite Gneiss - Buff-weathering, light-greenish-gray to greenish-buff, fine- to medium-grained, moderately well-foliated, well-lineated gneiss composed of microcline microperthite, quartz, oligoclase, biotite, and monazite. Accessory minerals include hornblende, zircon and opaque minerals. Mapped in Fox Hill Range area",,Rocks of Uncertain Origin (Middle Proterozoic),NJ001,gneiss,,,NJ001 NJ002,
NJ  ,Yk,Yk,Yk;11,NJYk;11,11,Northern - New Jersey Highlands,Potassic Feldspar Gneiss,Middle Proterozoic,"Potassic Feldspar Gneiss - Light-gray- to pinkish-buff-weathering, pinkish-white to light-pinkish-gray, fine- to medium-grained, moderately foliated gneiss and lesser amounts of granofels composed of quartz, microcline, microcline microperthite and local accessory amounts of biotite, garnet, sillimanite, and opaque minerals.",,Metasedimentary Rocks (Middle Proterozoic),NJ001,paragneiss,granofels,,NJ001 NJ002,
NJ  ,Tkb,Tkb,Tkb;0,NJTkb;0,0,Central and Southern - Coastal Plain (Subsurface),Belleplain Member of the Kirkwood Formation,"middle Miocene, Serravallian","Belleplain Member - New member named for a corehole at Belleplain State Forest headquarters (Belleplain II). A thin gravel bed, containing gravel up to 1 cm (0.4 in) in diameter, is present along the contact with the underlying Wildwood Member. The gravel is mainly quartz with small amounts of phosphatized vertebrate remains and sharks teeth. The lower 10.5 m (34 ft) is massive to horizontally laminated, very diatomaceous, dark-gray clay or silty clay with common, small, thin-walled mollusks. This basal clayey unit is overlain by as much as 23 m (75 ft) of mostly sand. The lower 1.2 m (4 ft) of fine- to medium-grained, dark-gray, woody sand is interbedded with clay. These grade up into a fine- to medium-grained, massive, rarely crossbedded, medium- to dark-gray, micaceous, bioturbated, quartz sand. The sand in the upper 10.5 m (34 ft) of this interval becomes coarser grained and is extensively stained gray brown by humates. Sand in the Belleplain is mostly quartz with a minor amount of siliceous rock fragments. Potassic feldspar is a common constituent but typically is less than 10 percent of the sand fraction. The upper 10 m (33 ft) is finely laminated, dark-gray clay with common, thin interbeds of fine- to medium-grained, micaceous quartz sand. Flaser bedding is common in this upper clayey unit. Gamma-ray values are high for the clayey unit at the base (transgressive deposits) and low for the sandy unit above (regressive deposits). This high-low couplet is a distinctive gamma-ray pattern that is typical of most marine units in the New Jersey Coastal Plain (unconformity-bounded sequences that represent an asymmetric transgressive to regressive cycle of sedimentation). The Belleplain is restricted to the southern bedrock sheet and generally occurs in the subsurface except where younger Pleistocene units have deeply entrenched through the overlying Cohansey Formation and exposed it. The Belleplain is greater than 100 m (338 ft) thick along the coast from Strathmere, Cape May County, to Cape May, Cape May County. The age of the Belleplain was determined by using a combination of different fossil types. Andrews (1988) considers the diatom assemblage of Actinoptychus marylandicus, Coscinodiscus lewisianus, Delphineis angustata, D. novaecaesaraea, D. penelliptica, Rhaphoneis clavata, R. gemmifera, and R. scutula to be characteristic of East Coast Diatom Zone (ECDZ) 6 or Bed 15 (equivalent to the uppermost part of the Calvert Formation of the Chesapeake Bay region). Silicoflagellates recovered from the Belleplain include Corbisema triacantha, Distephanus crux crux, and D. stauracanthus. The co-existence of the diatom Coscinodiscus lewisianus with the silicoflagellate Distephanus stauracanthus indicates an age of 13.2 to 12.3 Ma (David Bukry, written commun., 1990). Strontium-isotope ages of the shells range from 14.7 to 12.3 Ma and confirm the paleontologic middle Miocene age. Pollen assemblages from the base of this formation in the Belleplain I core contain spruce, pine, oak, hickory, and poplar (all abundant) with black gum, sweet gum, maple, birch, and Myrica (all sparse). Exotics include Clethra, Cyrilla, Engelhardia/Momipites, Planera, Podocarpus, and Symplocos. This assemblage is a mixture of cooltemperate forms (spruce) and warm-temperate forms (oak, hickory, and exotics; a lowland assemblage). The pollen assemblage in the upper part of the formation lacks the cool-temperate elements and is, overall, a warm-temperate microflora, thus indicating a general warming of the climate during the time of deposition",,part of the Kirkwood Formation. Subsurface unit shown in cross section (NJ002) with different description that surficial units.,NJ001,alluvium,,,NJ001 NJ003 NJ102,
NJ  ,Trss,TRss,TRss;5,NJTRss;5,5,Northern - Newark Basin,Stockton Formation Cobble Conglomerate and Sandstone facies,Upper Triassic,"Stockton Formation Cobble Conglomerate and Sandstone facies - Unit is coarser near Newark basin border fault, where poorly exposed, reddish-brown to pinkish-white, medium- to coarse-grained, feldspathic pebbly sandstone and conglomerate (Trss) and pebble to cobble quartzite conglomerate (Trscq).",,"Newark Supergroup, Brunswick Group (Lyttle and Epstein, 1987). The Stockton Formation unit description on the map encompasses multiple units (TRs, TRss, and TRscq). The units were split into separate records and appropriate descriptions for each were used. Names for units is from digital map.",NJ001,sandstone,conglomerate,,NJ001 NJ002 NJ024,
NJ  ,Tsr,Tsr,Tsr;0,NJTsr;0,0,Central and Southern - Coastal Plain (Subsurface),Shark River Formation,"upper and middle Eocene, Priabonian through Lutetian","Shark River Formation - Consists of three lithofacies, a basal clayey, greenish-gray glauconite sand; a middle dark-green to gray-green silty clay or clayey silt; and an upper medium-gray to gray-green, silty quartz sand. Updip beds are cyclic with a fine- to medium-grained, somewhat clayey, fossiliferous, dark-green, glauconite-quartz (25 percent) sand at the base. The basal lithofacies is about 12 m (39 ft) thick in the southern sheet and 3 m (10 ft) thick in the central sheet. There is a general increase in quartz sand upward and a change in color to dark gray or brownish gray. Locally, some of the beds are more clayey and have more calcareous shell fragments. The middle clay and silt facies is typically the thickest lithofacies in most Shark River sections (as much as 38 m (125 ft) thick) and is massive to thick bedded. The thick-bedded parts typically consist of intercalated silty and clayey beds that are extensively bioturbated. Macro- and microfossils are abundant in this facies. Most of the macrofossils are thin-walled pelecypods. This facies is gradational into the upper quartz-sand facies. The quartz sand is well developed in the Toms River Chemical Plant drillhole, Toms River, Ocean County (sheet 1). This facies apparently was beveled off in the updip areas during erosion prior to deposition of the Kirkwood Formation. The Shark River Formation in the updip area near Bridgeton, Cumberland County (sheet 2), is about 52 m (171 ft) thick. All of the Shark River lithologies in the downdip area are extensively bioturbated. The Shark River is thickest (more than 60 m (197 ft)) in a trough that lies near the middle of the southern sheet. The contact between the Shark River and the underlying Manasquan Formation is sharp and contains a thin zone of reworked glauconite sand, granules of quartz, and phosphatic debris. On most gamma-ray logs through this contact, there is a sharp gamma high reflecting the concentration of phosphatic sediment. The vertical arrangement of facies in this formation is from a transgressive (mostly clay) facies at the base to a regressive (mostly sand) facies at the top. Calcareous nannofossils and foraminifera were used to date this unit. Where the unit is thickest, the nannofossils range from the upper part of Zone NP 14 (Rhabdosphaera inflata) to the lower part of Zone NP 18 (Chiasmolithus oamaruensis). The entire sequence of Zones NP 14 through NP 18 was observed only in the ACGS-4 corehole near Mays Landing. The planktic foraminifera zones range from the Turborotalia frontosa Zone at the base to the Turborotalia pomeroli/Turborotalia cerroazulensis Zone at the top. A middle to early late Eocene age for the Shark River is indicated by these zones (Poore and Bybell, 1988).",,Subsurface unit shown in cross section (NJ002) with different description that surficial units.,NJ001,silt,clay or mud,sand,NJ001 NJ003 NJ109,
NJ  ,Ch,CAh,CAh;6,NJCAh;6,6,Northern - Green Pond Mountain Region,Hardyston Quartzite,Lower Cambrian,"Hardyston Quartzite (Lower Cambrian) (Wolff and Brooks, 1898) - Light- to medium-gray and bluish-gray conglomeratic sandstone. Varies from pebble conglomerate, to fine-grained, well-cemented quartzite, to arkosic or dolomitic sandstone. Conglomerate contains subangular to subrounded white quartz pebbles up to 2.5 cm (1 in.). Lower contact unconformable. About 0 to 9 m (1-30 ft) thick. ",,,NJ001,quartzite,conglomerate,sandstone,NJ001 NJ002 NJ004,
