time (s),magnetic field intensity (nT)
0.0,51465.141062727555
0.1,51486.63279591603
0.2,51483.87371161956
0.30000000000000004,51481.80666883903
0.4,51519.45354485295
0.5,51528.87039528575
0.6000000000000001,51488.46888670902
0.7000000000000001,51537.415382914754
0.8,51509.92902063425
0.9,51517.84966995752
1.0,51512.89522582306
1.1,51504.66626103718
1.2000000000000002,51463.58647202848
1.3,51500.77258545841
1.4000000000000001,51478.314563031345
1.5,51526.82033388149
1.6,51488.78130097893
1.7000000000000002,51497.08020651225
1.8,51469.31017044714
1.9000000000000001,51506.205413573996
2.0,51486.15250004588
2.1,51476.85376949321
2.2,51500.793098851864
2.3000000000000003,51530.712214902764
2.4000000000000004,51509.99318535667
2.5,51505.91356313478
2.6,51469.81014123193
2.7,51477.7583859639
2.8000000000000003,51503.2168452703
2.9000000000000004,51561.873633959956
3.0,51532.6169065657
3.1,51491.77734329333
3.2,51508.19951005403
3.3000000000000003,51494.533378964
3.4000000000000004,51520.47795472044
3.5,51537.32655776362
3.6,51458.717319041956
3.7,51513.855185036184
3.8000000000000003,51529.58044523165
3.9000000000000004,51490.07338349047
4.0,51466.7336779615
4.1000000000000005,51506.3566514443
4.2,51504.565136323254
4.3,51521.08738427787
4.4,51512.94495455705
4.5,51483.76116978695
4.6000000000000005,51479.61867557256
4.7,51511.09697555927
4.800000000000001,51471.13877945365
4.9,51532.48354040419
5.0,51517.9850911002
5.1000000000000005,51488.18281169923
5.2,51492.14747679139
5.300000000000001,51499.377735919414
5.4,51525.56260255042
5.5,51507.17470032562
5.6000000000000005,51497.964979114855
5.7,51461.19541664395
5.800000000000001,51495.13804618042
5.9,51464.73075811321
6.0,51498.579254169366
6.1000000000000005,51489.88818500557
6.2,51497.71903310973
6.300000000000001,51507.63244858583
6.4,51502.26539708582
6.5,51493.662852262016
6.6000000000000005,51500.34170375506
6.7,51513.213666521995
6.800000000000001,51490.24745006155
6.9,51563.009242251865
7.0,51485.791070762876
7.1000000000000005,51487.91935451221
7.2,51456.40676691871
7.300000000000001,51485.02161224167
7.4,51502.55499902436
7.5,51493.478827600906
7.6000000000000005,51499.96887674477
7.7,51526.16077729634
7.800000000000001,51526.506094924094
7.9,51518.13834567262
8.0,51477.89801653936
8.1,51487.76156586024
