Time (sec),Pitch (deg),Roll (deg),Yaw(deg),X-Acceleration (g),Y-Acceleration (g),Z-Acceleration (g),Pitch Rate (deg/sec),Roll Rate (deg/sec),Yaw Rate (deg/sec),Magnetic Field in X direction (uT),Magnetic Field in Y direction (uT),Magnetic Field in Z Direction (uT),Latitude (deg),Longitude (deg),Altitude (m)
688434462.889696,0.380510,-0.432266,-147.932483,0.001999,0.010147,0.997101,-0.003720,0.004640,-0.012093,-83.855591,76.027222,-262.698669,nan,nan,nan
688434463.089567,0.383488,-0.438293,-147.931153,0.004440,0.008835,0.995743,-0.002886,0.003375,-0.007321,-83.708832,75.934982,-263.008911,nan,nan,nan
688434463.288877,0.389341,-0.436495,-147.936194,0.001938,0.008652,0.998199,-0.003329,0.002496,-0.008109,-84.159012,75.546417,-262.342468,nan,nan,nan
688434463.489723,0.390376,-0.432773,-147.932323,0.001938,0.009155,0.997177,-0.003698,0.002041,-0.008268,-83.894150,76.038589,-262.498779,nan,nan,nan
688434463.689808,0.391902,-0.430523,-147.935600,0.001450,0.010971,0.996933,-0.001017,0.006476,-0.010409,-83.995712,75.944336,-263.007019,nan,nan,nan
688434463.889686,0.392385,-0.425195,-147.935784,0.001785,0.007370,0.997696,-0.004324,0.002360,-0.010201,-84.231247,76.065979,-262.587585,nan,nan,nan
688434464.089771,0.395679,-0.428487,-147.938270,0.002426,0.010818,0.994522,-0.004263,0.002942,-0.009225,-83.637054,75.865097,-262.243500,nan,nan,nan
688434464.289711,0.395383,-0.423012,-147.939324,0.001343,0.006668,0.997833,-0.002425,-0.001243,-0.008011,-84.247391,75.813431,-262.817871,nan,nan,nan
688434464.489153,0.396504,-0.418131,-147.939036,0.003281,0.009125,0.996719,-0.004450,0.004247,-0.012333,-84.379730,75.394028,-262.222107,nan,nan,nan
688434464.689746,0.395482,-0.414461,-147.939889,0.002243,0.008759,0.996613,-0.004207,0.000085,-0.009315,-83.963867,75.562988,-262.338013,nan,nan,nan
688434464.889266,0.400075,-0.414554,-147.940961,0.001984,0.008591,0.996201,-0.000879,-0.000355,-0.011447,-83.916443,75.722870,-262.367462,nan,nan,nan
688434465.089487,0.400155,-0.413402,-147.947226,0.003738,0.008835,0.996216,-0.000742,0.001930,-0.008615,-84.155426,75.547287,-262.667236,nan,nan,nan
688434465.289697,0.400602,-0.412212,-147.942515,0.002335,0.008286,0.997787,-0.002079,0.001325,-0.008447,-84.286682,75.533188,-262.938477,nan,nan,nan
688434465.489721,0.396475,-0.406338,-147.946105,0.001877,0.008514,0.996490,-0.001991,-0.001167,-0.007330,-84.400116,75.911926,-262.815155,nan,nan,nan
688434465.689734,0.392318,-0.401909,-147.942426,0.002441,0.008438,0.996307,-0.004109,0.001578,-0.010791,-84.161652,75.421829,-262.849701,nan,nan,nan
688434465.889728,0.394687,-0.396333,-147.947371,0.002304,0.008759,0.996658,-0.002408,0.000507,-0.009268,-84.458176,75.603638,-262.671265,nan,nan,nan
688434466.089738,0.393021,-0.391036,-147.944345,0.002380,0.007797,0.997498,-0.004541,0.003014,-0.009220,-84.025375,76.065903,-262.968018,nan,nan,nan
688434466.289699,0.389213,-0.391910,-147.942772,0.000565,0.008179,0.997589,-0.002804,0.000965,-0.009186,-84.302811,75.474304,-263.087097,nan,nan,nan
688434466.489697,0.391873,-0.387859,-147.942461,0.009842,-0.005875,0.998764,-0.003804,0.006523,-0.012522,-84.706940,75.877930,-262.710876,nan,nan,nan
688434466.689726,0.390839,-0.384552,-147.943429,0.003891,0.011841,0.996689,-0.004793,0.000487,-0.013579,-84.376877,75.618591,-262.366333,nan,nan,nan
688434466.889683,0.391129,-0.381017,-147.943743,0.001907,0.005966,0.997635,-0.004722,0.002071,-0.011681,-84.071762,75.830521,-262.954926,nan,nan,nan
688434467.089786,0.390268,-0.376505,-147.942428,-0.000259,0.012573,0.996780,-0.004416,0.001289,-0.007136,-84.420380,75.766876,-262.739502,nan,nan,nan
688434467.289715,0.386857,-0.379609,-147.942398,0.001755,0.009521,0.997406,-0.002899,0.003421,-0.009347,-84.141418,75.659668,-262.873535,nan,nan,nan
688434467.489720,0.385412,-0.377896,-147.937888,0.002167,0.007996,0.996078,-0.002044,0.002732,-0.009950,-84.273773,75.404587,-262.629272,nan,nan,nan
688434467.689724,0.390913,-0.378116,-147.950116,0.000870,0.009720,0.997238,-0.002817,-0.000580,-0.012372,-84.195724,75.436310,-262.585297,nan,nan,nan
688434467.889717,0.388418,-0.370607,-147.951024,0.000748,0.002594,0.997055,-0.004567,0.001427,-0.011516,-84.555298,75.448257,-263.077454,nan,nan,nan
688434468.089556,0.388524,-0.359646,-147.935977,0.005310,0.000015,0.998184,-0.005657,0.007032,-0.008679,-84.382523,75.560776,-262.496948,nan,nan,nan
688434468.289718,0.395192,-0.386334,-147.909138,0.009827,-0.073013,1.002594,-0.000872,0.000924,0.003878,-84.342896,75.535736,-262.673767,nan,nan,nan
688434468.489720,0.360171,-0.328484,-147.702538,-0.024323,-0.035843,0.991699,-0.006522,-0.013653,0.014215,-83.864319,74.803085,-262.579285,nan,nan,nan
688434468.689780,0.301572,-0.351129,-147.465726,-0.007263,-0.218826,1.090790,0.037108,-0.063364,0.057869,-83.402039,74.062119,-262.813599,nan,nan,nan
688434468.888961,0.289222,-0.278933,-148.232082,0.037704,-0.070770,1.103638,-0.028084,0.027980,-0.090154,-80.713699,71.092590,-263.464111,nan,nan,nan
688434469.089699,0.285311,-0.259709,-148.927180,-0.031647,-0.101288,0.806213,0.007769,0.148437,-0.061504,-76.187866,69.067383,-264.734802,nan,nan,nan
688434469.289733,0.276897,-0.053905,-148.953863,-0.070236,0.031570,1.168625,0.016112,0.033028,-0.019717,-70.554916,69.638168,-267.888611,nan,nan,nan
688434469.489755,0.411026,0.279580,-149.153964,-0.006973,0.060394,0.988525,-0.126191,0.054444,0.003851,-66.968796,72.263535,-270.195618,nan,nan,nan
688434469.689692,0.546661,-0.012782,-149.498339,0.072556,0.039963,0.933914,-0.073984,0.070898,-0.163853,-66.091141,75.517838,-270.928131,nan,nan,nan
688434469.889746,0.292039,0.238533,-150.004293,-0.032669,0.001663,0.818039,-0.050929,-0.075008,-0.011371,-67.220520,79.306961,-273.015259,nan,nan,nan
688434470.089758,0.225056,0.169591,-149.857549,-0.001205,-0.009521,1.071060,0.051271,0.152634,0.013450,-69.464554,81.957855,-273.165985,nan,nan,nan
688434470.289745,0.057520,-0.139978,-149.242157,-0.017426,0.024628,1.077042,0.097522,0.058228,0.093090,-72.074951,85.475540,-273.544556,nan,nan,nan
688434470.489818,0.249061,0.024591,-148.297605,-0.040024,0.031143,1.135651,0.067755,-0.210157,0.069845,-74.591156,88.434464,-272.048035,nan,nan,nan
688434470.689717,0.360482,-0.042685,-147.026221,0.001343,-0.001785,1.018021,-0.012922,0.023596,0.127410,-77.630173,91.031723,-270.020386,nan,nan,nan
688434470.889800,0.119969,-0.164553,-146.746198,0.031906,-0.002197,0.893753,0.080906,0.191450,-0.013982,-80.341568,92.334488,-265.324280,nan,nan,nan
