Time (sec),Pitch (deg),Roll (deg),Yaw(deg),X-Acceleration (g),Y-Acceleration (g),Z-Acceleration (g),Pitch Rate (deg/sec),Roll Rate (deg/sec),Yaw Rate (deg/sec),Magnetic Field in X direction (uT),Magnetic Field in Y direction (uT),Magnetic Field in Z Direction (uT),Latitude (deg),Longitude (deg),Altitude (m)
688434336.688685,0.428805,0.471710,31.250916,-0.007736,0.008942,0.996902,-0.001723,0.002478,-0.007828,-43.990417,110.017136,-246.901413,nan,nan,nan
688434336.888742,0.425187,0.472921,31.249035,-0.007141,0.006622,0.996628,-0.002209,0.002176,-0.010003,-43.910034,109.749832,-246.173965,nan,nan,nan
688434337.088816,0.430172,0.474858,31.249527,-0.007599,0.007523,0.997513,-0.003742,0.000432,-0.008857,-43.977036,109.213623,-246.633270,nan,nan,nan
688434337.288828,0.432886,0.478203,31.246860,-0.008057,0.008011,0.997162,-0.002639,-0.000189,-0.010784,-44.336334,109.206482,-246.946167,nan,nan,nan
688434337.488792,0.431866,0.480333,31.245924,-0.008423,0.007050,0.996078,-0.003340,-0.001331,-0.009707,-43.895386,109.060410,-247.317139,nan,nan,nan
688434337.688789,0.433236,0.484638,31.241766,-0.007339,0.007202,0.996323,-0.001862,-0.000018,-0.009660,-44.474182,109.921494,-247.094299,nan,nan,nan
688434337.888729,0.433611,0.487506,31.234168,-0.007584,0.006912,0.996368,-0.001054,-0.000238,-0.009487,-43.969559,109.616959,-246.841309,nan,nan,nan
688434338.088555,0.431131,0.486519,31.236057,-0.008133,0.007202,0.996475,-0.002748,0.000582,-0.009945,-43.781326,110.021332,-247.317429,nan,nan,nan
688434338.288734,0.431033,0.488479,31.229856,-0.007217,0.006805,0.996674,-0.003537,-0.000141,-0.010972,-43.488968,109.612076,-246.687637,nan,nan,nan
688434338.488741,0.430138,0.487458,31.232990,-0.008118,0.006866,0.997025,-0.001119,0.002833,-0.009808,-43.603729,109.368240,-246.439896,nan,nan,nan
688434338.688743,0.428916,0.487895,31.230493,-0.008652,0.006851,0.996292,-0.003520,-0.002145,-0.008441,-43.978989,109.380447,-247.284698,nan,nan,nan
688434338.888496,0.428043,0.490134,31.233242,-0.008240,0.007172,0.997513,-0.003336,0.001624,-0.009777,-44.087494,109.207932,-246.790756,nan,nan,nan
688434339.088737,0.429537,0.489665,31.229071,-0.009216,0.007736,0.996811,-0.000525,0.000526,-0.008102,-44.318985,109.479263,-247.269455,nan,nan,nan
688434339.288732,0.428470,0.490447,31.233322,-0.008148,0.007599,0.997772,-0.005553,0.003339,-0.010204,-43.500702,109.799210,-246.847229,nan,nan,nan
688434339.488745,0.422854,0.491510,31.229993,-0.008255,0.006866,0.998215,-0.000519,-0.000992,-0.010618,-43.941299,109.843140,-246.851013,nan,nan,nan
688434339.688814,0.418864,0.489646,31.232319,-0.007492,0.006592,0.996399,-0.002859,0.001863,-0.009861,-43.694733,108.973328,-247.169144,nan,nan,nan
688434339.888754,0.422024,0.493195,31.228598,-0.007767,0.007843,0.997284,-0.003700,0.002879,-0.009710,-43.878601,109.439590,-246.762161,nan,nan,nan
688434340.088722,0.425994,0.489902,31.232547,-0.008011,0.006470,0.997177,-0.003984,0.001013,-0.007188,-43.872604,110.077881,-246.559982,nan,nan,nan
688434340.288757,0.425421,0.487322,31.236748,-0.007629,0.007950,0.995590,-0.003239,0.002114,-0.012991,-43.771484,109.876907,-246.851379,nan,nan,nan
688434340.488717,0.431061,0.487198,31.238104,-0.007828,0.006577,0.996506,-0.003982,0.003179,-0.008479,-44.044083,109.609177,-247.357925,nan,nan,nan
688434340.688776,0.437895,0.487034,31.243378,-0.007278,0.009552,0.996948,-0.003193,-0.001412,-0.009983,-44.018356,109.171814,-246.675201,nan,nan,nan
688434340.888764,0.441708,0.486153,31.250406,-0.007156,0.008850,0.996399,-0.001332,0.001253,-0.011001,-44.026627,109.205032,-246.941574,nan,nan,nan
688434341.088726,0.441116,0.480799,31.251178,-0.007919,0.008087,0.996918,-0.003575,0.002598,-0.009295,-43.920410,109.429993,-246.601105,nan,nan,nan
688434341.288737,0.443302,0.481495,31.251493,-0.007553,0.001556,0.996460,-0.001825,0.002681,-0.009132,-43.668457,109.663239,-246.480484,nan,nan,nan
688434341.488309,0.445408,0.489773,31.262744,-0.004333,0.000122,0.998871,-0.004124,0.006406,-0.009178,-43.768661,109.585098,-246.340836,nan,nan,nan
688434341.688769,0.455768,0.489458,31.260561,-0.008423,-0.011612,0.995926,-0.000755,0.002758,-0.007740,-43.612610,109.612488,-246.695221,nan,nan,nan
688434341.888757,0.435161,0.492476,31.264321,0.000732,-0.076569,0.991226,-0.010010,0.020536,-0.008897,-43.553909,109.109451,-246.868225,nan,nan,nan
