unit_link,lith_rank,lith1,lith2,lith3,lith4,lith5,low_lith,lith_form,lith_com
NJCAh;6,Minor,Sedimentary,Clastic,Sandstone,,,Sandstone,, 
NJCAh;6,Minor,Sedimentary,Clastic,Conglomerate,,,Conglomerate,, 
NJCAh;6,Major,Metamorphic,Metasedimentary,Metaclastic,Quartzite,,Quartzite,, 
NJCAh;8,Major,Metamorphic,Metasedimentary,Metaclastic,Quartzite,,Quartzite,Bed,"Medium- to light-gray, fine- to coarse-grained, medium- to thick-bedded quartzite "
NJCAh;8,Minor,Sedimentary,Clastic,Sandstone,Arkose,,Arkose,Bed,arkosic sandstone 
NJCAh;8,Minor,Sedimentary,Clastic,Sandstone,,,Sandstone,Bed,dolomitic sandstone 
NJCAh;8,Minor,Sedimentary,Clastic,Conglomerate,,,Conglomerate,Bed,Basal pebble to cobble conglomerate typically contains clasts of local basement affinities. 
NJCAl;6,Major,Sedimentary,Carbonate,Dolostone,,,Dolostone,, 
NJCAl;6,Minor,Sedimentary,Clastic,Sandstone,,,Sandstone,, 
NJCAl;6,Minor,Sedimentary,Clastic,Mudstone,Shale,,Shale,, 
NJCAl;8,Major,Sedimentary,Carbonate,Dolostone,,,Dolostone,Bed,"Thin- to thick-bedded dolomite containing subordinate siliciclastic rocks. Upper part is medium- to medium-dark-gray, fine- to medium-grained, pitted, friable, mottled and massive dolomite. Middle part is medium-gray, stylolitic, fine-grained, thin- to medium-bedded dolomite that is interbedded with shaly dolomite and, less commonly, vari-colored quartz sandstone, siltstone, and shale. Lower part is medium-gray, medium-grained, medium-bedded dolomite containing quartz-sand grains in stringers and lenses near the contact with the Hardyston Quartzite.  "
NJCAl;8,Minor,Sedimentary,Clastic,Sandstone,,,Sandstone,Bed, 
NJCAl;8,Minor,Sedimentary,Clastic,Siltstone,,,Siltstone,Bed, 
NJCAl;8,Minor,Sedimentary,Clastic,Mudstone,Shale,,Shale,Bed, 
NJCAZm;10,Major,Metamorphic,Schist,,,,Schist,,"Medium-darkgray, medium- to coarse-grained schist and gneiss composed of biotite, muscovite, quartz, and plagioclase, and local accessory minerals sillimanite, kyanite, tourmaline, and garnet. "
NJCAZm;10,Major,Metamorphic,Gneiss,,,,Gneiss,,"Medium-darkgray, medium- to coarse-grained schist and gneiss composed of biotite, muscovite, quartz, and plagioclase, and local accessory minerals sillimanite, kyanite, tourmaline, and garnet. "
NJCAZm;10,Minor,Metamorphic,Amphibolite,,,,Amphibolite,Amphibolite, 
NJCAZs;10,Major,Metamorphic,Metaigneous,Serpentinite,,,Serpentinite,, 
NJCAZw;3,Major,Metamorphic,Schist,Mica-schist,Biotite-schist,,Biotite-schist,,Fine- to medium-grained biotite-quartz-plagioclase schist 
NJCAZw;3,Major,Metamorphic,Gneiss,Biotite-gneiss,,,Biotite-gneiss,,Fine- to medium-grained biotite-quartz-plagioclase gneiss 
NJCAZw;3,Incidental,Metamorphic,Migmatite,,,,Migmatite,,"The rocks are at high metamorphic grade, and, in places, the more pelitic parts have partly melted forming veins of migmatite. "
