ref_id,reference,onlink
NJ202,"Arcs were ""mistagged"" and corrected by C.L. Dicken (compared to sources NJ002 and NJ003). ",
NJ064,"Drake, A.A., Jr., and Lyttle, P.T., 1985, Geologic map of the Blairstown quadrangle, Warren County, New Jersey: U.S. Geological Survey Geologic Quadrangle Map GQ-1585, scale 1:24,000. ",http://pubs.er.usgs.gov/publication/gq1585
NJ073,"Ethington, R.L., Furnish, W.M., and Markewicz, F.J., 1958, Ordovician conodonts in New Jersey: Journal of Paleontology, v. 32, no. 4, p. 763-765. ",
NJ001,"Dalton, R. F., Herman, G. C., Monteverde, D. H., Pristas, R. S., Sugarman, P. J., Volkert, R. A., 1999, New Jersey Department Of Environmental Protection, Bedrock Geology and Topographic Base Maps of New Jersey: New Jersey Geological Survey CD Series CD 00-1; ARC/INFO (v. 7.1) export file: geology.e00, scale 1:100,000, unit description files: cslegend.pdf and nlegend.pdf, metadata: metast.pdf. ",
NJ005,"Wherry, E.T., 1909, The early Paleozoic of the Lehigh Valley district, Pennsylvania: Science, new series, v. 30, p. 416. ",
NJ006,"Hall, L.M., in press, Bedrock geologic map of the White Plains quadrangle, New York: New York State Museum and Science Service Map and Chart Series, no. XXX, scale 1:XXX. ",
NJ007,"Willard, Bradford, 1938, A Paleozoic section at Delaware Water Gap: Pennsylvania Geological Survey, 4th series, Bulletin G-11, 35 p. ",
NJ008,"Vanuxem, Lardner, 1840, Fourth annual report of the geological survey of the third district: New York Geological Survey Annual Report 4, p. 355-383. ",
NJ009,"Darton, N.H., 1894, Geologic relations from Green Pond, New Jersey, to Skunnemunk Mountain, New York: Geological Society of America Bulletin, v. 5, p. 367-394. ",
NJ010,"Hartnagel, C.A., 1907, Upper Siluric and Lower Devonic Formations of the Skunnemunk Mountain region: New York State Museum Bulletin 107, p. 39-54 ",
NJ011,"Vanuxem, Lardner, 1842, Geology of New York, part III, comprising the survey of the third geological district: Albany, N.Y., 306 p. ",
NJ013,"Chadwick, G.H., 1908, Revision of ""the New York series"": Science, new series, v.28, p. 346-348. ",
NJ014,"Clarke, J.M., and Schuchert, Charles, 1899, The nomenclature of the New York series of geological formations: Science, new series, v. 10, p. 874-878. ",
NJ016,"Boucot, A.J., 1959, Brachiopods of the Lower Devonian rocks at Highland Mills, New York: Journal Paleontology, v.33, no. 5, p. 727-769. ",
NJ203,"Arcs have been ""flipped and retagged"" by C.L. Dicken (compared to sources NJ002 and NJ003). ",
NJ017,"Fletcher, F.W., and Woodrow, D.L., 1970, Geology and mineral resources of the Pennsylvania portion of the Milford and Port Jervis 15-minute quadrangles: Pennsylvania Geological Survey, Fourth Series, Atlas 223, 64 p., scale 1:62,500. ",
NJ018,"Willard, Bradford, 1938, A Paleozoic section at Delaware Water Gap: Pennsylvania Geological Survey, 4th series, Bulletin G-11, 35 p. ",
NJ019,"Clarke, J.M., 1903, Classification of New York series of geological formations: New York State Museum Handbook 19, 28 p. ",
NJ020,"Kmmel, H.B., and Weller, Stuart, 1902, The rocks of the Green Pond Mountain region: New Jersey Geological Survey Annual Report 1901, p. 1-51. ",
NJ022,"White, I.C., 1882, The geology of Pike and Monroe Counties: Pennsylvania Geological Survey, 2nd series, Report G-6, 407 p. ",
