GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
" ""50000""",Vermont,1,SAGDP1,3,...,Current-dollar GDP (millions of current dollars),Millions of current dollars,15454.7,16080.7,17176.9,18341.1,19323.2,20273,21293.2,22938.2,23608.6,24331.5,24797.7,25999.3,26099.2,27406.6,28418.7,29241.3,29289.6,30099.4,30933.3,31661.2,32246.9,33032.7,34127.5,33435
" ""56000""",Wyoming,7,SAGDP1,3,...,Current-dollar GDP (millions of current dollars),Millions of current dollars,14654.5,14840.2,15679.7,17152.5,18708.3,19165.6,21193.6,23429.4,27576.3,32740.3,36950.8,42819.3,36252,37680.7,39751.4,38855.4,39289.8,40310.6,38426.9,35879,36863.7,39032.3,39600.8,36323.5
" ""02000""",Alaska,8,SAGDP1,3,...,Current-dollar GDP (millions of current dollars),Millions of current dollars,25810.8,24227.5,24744.3,26806.6,28494.1,29756.8,32037.9,35302.4,40356.6,45094.1,49583.7,55122.5,49957.8,53331.6,56896.3,58283.6,57247.7,56484.9,51490.9,50727.7,53089.3,54711.7,54547.1,49820
" ""30000""",Montana,7,SAGDP1,3,...,Current-dollar GDP (millions of current dollars),Millions of current dollars,19290.4,20429.1,20812.2,21876.7,22847.6,23942.1,25714.9,28160.5,30875.8,33166.1,36233.2,37224.9,36187.8,38336.1,40995.1,42340.9,43687.9,45177.2,46604.1,45490.9,48439.5,50903.8,51789.3,51508.8
" ""46000""",South Dakota,4,SAGDP1,3,...,Current-dollar GDP (millions of current dollars),Millions of current dollars,19031.4,20228.1,21078.7,22743.3,23412.1,26322.1,27216.1,29271.3,30997.4,32364.5,35073,36603,36432.9,37852.5,41892.1,43901.5,45361,46785.4,48070.2,49151.4,50299.4,52404.3,53939.9,54789.4
" ""38000""",North Dakota,4,SAGDP1,3,...,Current-dollar GDP (millions of current dollars),Millions of current dollars,15760.8,16816.6,17067.2,18100.1,18889.1,20194.7,22061.1,23259,24700,26500.7,29075.4,31874.4,32226,35676.2,41587.7,51832.6,54271,59926.3,55996.9,51989.2,55228,59092.6,59004.5,54854.2
" ""44000""",Rhode Island,1,SAGDP1,3,...,Current-dollar GDP (millions of current dollars),Millions of current dollars,28928.8,30818.5,32267.2,34466.8,35862.8,37809.2,39638,42363.9,44374.1,47204.4,47340.8,47277.5,47702.2,49468.3,50206.1,51583,53034.1,54559.7,56390.8,57353.5,57940.8,59129,61319.1,60556.3
" ""23000""",Maine,1,SAGDP1,3,...,Current-dollar GDP (millions of current dollars),Millions of current dollars,30618.4,32156.2,34413.2,36890.3,38605.7,40466.2,42315.2,45210,47078.5,49045.4,50459.3,50713.2,51123.8,52256.2,52575.5,53679.7,54470.1,56410.8,58131.3,60254.4,62412.9,65491.9,68452.9,69271.8
" ""10000""",Delaware,2,SAGDP1,3,...,Current-dollar GDP (millions of current dollars),Millions of current dollars,33353.4,37106,40345.1,43451.3,46096.1,45508.3,47686.1,51353.7,52153.5,55174.4,56612.8,55459.8,57849.7,58163.5,61372.2,62354.6,61716.2,68354.7,71913.9,69355,68763.8,72488,77042.2,75786.5
" ""54000""",West Virginia,5,SAGDP1,3,...,Current-dollar GDP (millions of current dollars),Millions of current dollars,38777.5,40014.6,41714.3,42495.6,43973.3,45580.8,47039.9,49741.4,53492.5,57010,59273.5,62694.8,63600.7,65998.7,69234.1,70322.2,71481.5,72648.2,71318.5,70924.4,74799.5,79044.8,79139.7,75855
" ""15000""",Hawaii,8,SAGDP1,3,...,Current-dollar GDP (millions of current dollars),Millions of current dollars,37707.4,37622.9,38990.6,41096.8,42585.4,44644.2,48166.1,52353.5,57369.4,60846.5,64163.6,65678.2,64549.7,66872.9,69083.9,71905.3,74554.9,76773.3,81230.3,83914.4,87177.8,90276.4,91781.1,82884.6
" ""16000""",Idaho,7,SAGDP1,3,...,Current-dollar GDP (millions of current dollars),Millions of current dollars,29496.9,31059.8,34239.9,38083.1,37489,38673.2,40490.6,44327.9,48642.8,51125.8,53934.5,56200.8,54064.1,55587.6,56941.1,58323.9,61835.8,64575.2,65899.9,68837.4,71688.4,77493.9,82420.1,83821.6
" ""33000""",New Hampshire,1,SAGDP1,3,...,Current-dollar GDP (millions of current dollars),Millions of current dollars,38206.6,40554,41955.2,45342,46817.5,49059.9,51637.6,54918.2,56952.6,60017,61782.1,61700.2,62522.9,64843.6,66153.2,68498.1,70476.2,72995.2,76478,79090.1,80665.9,83844,87507.6,87621
" ""35000""",New Mexico,6,SAGDP1,3,...,Current-dollar GDP (millions of current dollars),Millions of current dollars,52475.6,50658.7,53017.3,55105,55789.7,57808.3,62651.1,69956.6,73911.4,77610.4,80799.8,84688.4,82461.5,84611.5,87062.8,87925.2,88756.9,92185.7,90274.3,89769.4,92311.1,97269.2,101971.5,98472.1
" ""28000""",Mississippi,5,SAGDP1,3,...,Current-dollar GDP (millions of current dollars),Millions of current dollars,58352.7,60940.4,63879,65673.1,67174,69259.9,73961.9,77998,82448.5,87099.5,91191.4,94514.5,91792.2,93943.1,96218,100448.4,102371,104300.3,105914.6,107291.4,109962.5,112406.8,114733.8,113845.7
" ""05000""",Arkansas,5,SAGDP1,3,...,Current-dollar GDP (millions of current dollars),Millions of current dollars,59846.3,62396.7,66811.3,68678.5,70616.7,74113.9,78695.1,85199.6,90887.7,95875.1,98381.6,99706.8,97508.1,101486.5,105768.1,108492.1,113227.3,116139.4,117786.8,119152.4,122350.2,127306.5,130839.9,130750.7
" ""31000""",Nebraska,4,SAGDP1,3,...,Current-dollar GDP (millions of current dollars),Millions of current dollars,49819.2,51822.1,53685.2,56527.5,59607.2,61417.3,66402.1,70469.2,74564.5,78813.8,83834.8,85628,86870.4,91561.5,99921.1,102725.9,107260.7,111945.9,116514.6,118145.9,121946.3,126922.7,131352.4,133439
" ""11000""",District of Columbia,2,SAGDP1,3,...,Current-dollar GDP (millions of current dollars),Millions of current dollars,52503.6,54815.3,58819.2,61092.9,65442.9,69919.5,73957.1,80140.1,84867.6,88125,93785.4,99496.5,100446,106146.9,109730.4,112157,114540.1,119414.6,124604.7,129648.6,133391.2,139784.8,144405.7,144554.8
" ""32000""",Nevada,8,SAGDP1,3,...,Current-dollar GDP (millions of current dollars),Millions of current dollars,60259.1,65114.2,71595.9,76833.1,80429.2,85008.7,90633.6,103231,116166.2,125848.3,131620.9,130609.5,122127.1,124669.4,127677.9,129312.9,132086.4,136008.7,145115.9,151840.4,160785,170352.9,181743.3,170943.8
" ""20000""",Kansas,4,SAGDP1,3,...,Current-dollar GDP (millions of current dollars),Millions of current dollars,74662.3,78382,81883.8,86099,88883.6,91584.2,95359.9,99083,105526.3,114091.9,123878.7,128604.3,125348.9,128591.3,136358.9,141818.2,144483.2,150183.6,154958.2,160451,164923.3,172327.5,176738.5,175141.8
