Basin,Mean Local Relief (m),Total denudation rate (mm / 1000 yr)
Amazon,215,93
Amur,249,12
Brahmaputra,992,688
Chiang Jiang,667,131
Colorado,520,96
Columbia,832,30
Danube,303,52
Dnepr,30,5
Ganges,438,273
Huang He,461,54
Indus,785,136
Kolyma,306,4
La Plata (Parana),211,14
Lena,294,11
Mackenzie,272,32
Mekong,563,99
Mississippi,173,77
Murray,109,13
Niger,143,8
Nile,205,11
Ob,115,6
Orange,190,28
Orinico,347,75
Rio Grande,413,19
Shatt-El-Arab,281,26
St. Lawrence,132,14
Yenisei,330,9
Yukon,504,44
Zaire,166,7
Zambezi,232,15
