Location (m),"Magnetic Field, stack (nT)","Magnetic Field, KS4259 (nT)","Magnetic Field, RETZEPIS (nT)","Magnetic Field, sh3770 (nT)","Magnetic Field, ZNZHANG (nT)","Magnetic Field, whaarlow (nT)","Magnetic Field, na3676 (nT)","Magnetic Field, bboyd (nT)","Magnetic Field, cg0677 (nT)","Magnetic Field, lpowens (nT)","Magnetic Field, akanehw (nT)"
0.0,501261.55700000003,50861.962,50810.527,50723.16,50861.962,50429.952999999994,51093.618,51846.823000000004,47006.945,46196.12,51430.487
1.0,502415.747,51061.515999999996,50742.528,50424.386,51061.515999999996,50538.697,50847.485,52003.337,47812.733,46196.12,51727.429000000004
2.0,502463.592,51132.005999999994,50561.826,50628.118,51132.005999999994,50178.075,50943.712,52260.188,48140.338,46196.12,51291.203
3.0,501969.47599999997,50967.07399999999,50895.432,50536.473,50967.07399999999,50628.605,50835.098000000005,52200.366,47497.57,46196.12,51245.664
4.0,503190.68000000005,51424.837,50563.133,50630.723000000005,51424.837,50604.711,50925.528999999995,52301.717,47689.956000000006,46196.12,51429.117
5.0,502886.36999999994,50856.115000000005,50319.661,50810.825000000004,50856.115000000005,50600.147,51085.321,52072.742,47271.583,47211.528,51802.333
6.0,502444.15400000004,50709.727999999996,50473.073,50343.819,50709.727999999996,50333.598000000005,50990.905,52091.702,47845.216,47037.244999999995,51909.14
7.0,503190.40499999997,51258.338,50221.36,50454.502,51258.338,50487.856999999996,50814.754,52091.702,47890.763999999996,47037.244999999995,51675.545
8.0,504163.96099999995,50987.77,50796.68199999999,50799.422999999995,50987.77,50657.904,51078.005,52351.074,47946.6,47190.638,51368.094999999994
9.0,502810.19000000006,51151.112,50401.621,50760.530000000006,51151.112,50110.024000000005,51102.936,51941.617999999995,48044.807,46549.807,51596.623
10.0,501860.3229999999,50657.228,50522.147,50458.386,50657.228,50761.224,50800.055,52160.950999999994,48049.011999999995,46549.807,51244.284999999996
